employee_id,department_id,first_name,last_name,start_date,end_date,notes,created,updated
E7097519,1,Nina,Lee,2018-05-01,,"[{""timestamp"": ""2019-01-22 00:00:00"", ""note"": ""Updated department assignment.""}]",2018-04-26 00:00:00,2019-04-15 00:00:00
E0593543,2,Kaitlyn,Nguyen,2016-06-15,,"[{""timestamp"": ""2016-12-12 00:00:00"", ""note"": ""Updated department assignment.""}]",2016-06-03 00:00:00,2017-04-05 00:00:00
E0671750,3,Lena,Nguyen,2018-06-05,,"[{""timestamp"": ""2018-09-09 00:00:00"", ""note"": ""Added new training completion record.""}]",2018-05-28 00:00:00,2019-02-07 00:00:00
E4288504,4,Sophia,Garcia,2028-05-02,,"[{""timestamp"": ""2028-05-04 00:00:00"", ""note"": ""Updated contact information.""}]",2028-04-22 00:00:00,2028-10-19 00:00:00
E9510718,5,Aiden,Wong,2016-04-15,,"[{""timestamp"": ""2016-09-07 00:00:00"", ""note"": ""Employee record created.""}]",2016-03-28 00:00:00,2016-09-26 00:00:00
E3256754,6,Makayla,Santos,2040-05-25,,"[{""timestamp"": ""2041-03-27 00:00:00"", ""note"": ""Employee record created.""}]",2040-05-07 00:00:00,2041-02-28 00:00:00
E4045672,7,Amelia,Harrington,2017-06-01,,"[{""timestamp"": ""2017-06-22 00:00:00"", ""note"": ""Annual performance review added.""}]",2017-05-24 00:00:00,2017-06-30 00:00:00
E4300435,8,Roxanne,Lopez,2024-03-15,,"[{""timestamp"": ""2024-10-07 00:00:00"", ""note"": ""Employee record created.""}]",2024-02-21 00:00:00,2025-01-08 00:00:00
E6235403,9,Harper,Jones,2023-06-23,,"[{""timestamp"": ""2024-03-30 00:00:00"", ""note"": ""Added new training completion record.""}]",2023-05-25 00:00:00,2024-06-15 00:00:00
E3042933,10,Caroline,Nguyen,2028-06-01,,"[{""timestamp"": ""2028-09-30 00:00:00"", ""note"": ""Employee record created.""}]",2028-05-31 00:00:00,2028-09-14 00:00:00
